b1,b2,b3,b4,b5,b6,b7,b8,b9,class
71,65,85,100,81,121,120,35,73,3
81,98,125,117,90,129,89,46,76,3
67,31,55,102,47,89,81,23,56,1
61,65,83,144,58,110,139,38,76,3
105,160,196,131,65,109,96,40,75,3
58,51,67,94,65,101,111,26,56,0
68,27,51,100,46,87,77,23,54,2
62,65,90,97,85,126,92,47,83,3
80,29,56,114,48,92,100,25,59,1
63,71,95,100,87,130,79,43,77,3
54,33,59,78,48,87,62,23,52,2
64,54,71,116,63,104,127,26,59,0
63,68,87,115,75,120,92,42,76,3
72,29,56,110,48,92,94,24,59,1
70,29,55,106,51,93,100,25,60,1
81,28,52,116,46,90,91,23,57,1
70,29,54,114,47,89,98,25,58,1
78,29,53,118,48,89,101,25,58,1
41,40,64,85,57,96,76,23,51,0
45,27,49,84,49,94,60,24,55,2
72,28,54,109,51,97,85,25,60,1
56,49,69,113,63,111,109,26,58,0
51,53,72,88,74,111,64,39,67,0
57,55,73,93,72,107,99,26,57,0
59,53,71,110,63,107,96,26,56,0
78,30,56,107,50,93,84,24,57,1
52,59,88,95,97,136,63,55,80,3
52,26,48,97,50,95,85,25,58,2
83,28,54,119,47,92,97,25,58,1
58,30,52,93,49,91,72,24,56,2
54,26,49,87,44,84,66,22,51,2
54,27,51,87,53,91,72,25,55,2
60,28,48,102,45,86,80,24,53,2
60,46,73,114,69,116,92,29,63,3
57,35,59,94,66,102,90,32,67,2
72,30,55,99,49,92,89,23,57,1
67,28,52,102,51,96,84,26,59,2
81,33,56,109,55,95,100,26,61,1
65,28,51,99,49,88,78,24,54,2
79,27,53,115,47,92,89,24,57,1
57,44,67,135,58,111,112,25,55,0
64,27,51,99,50,96,89,26,58,2
47,25,48,86,46,88,60,21,50,2
58,58,76,109,80,121,64,48,70,3
66,27,50,96,47,87,78,22,53,2
81,32,57,120,56,107,105,28,63,1
40,25,47,81,49,87,74,24,55,2
53,67,97,76,88,130,54,56,92,3
58,27,49,95,46,89,81,22,55,2
47,38,60,121,57,108,91,25,54,0
50,27,50,79,45,84,68,23,54,2
66,29,53,99,52,96,89,25,57,2
80,28,54,115,52,95,93,24,58,1
53,26,50,91,50,94,66,22,53,2
89,30,58,122,54,101,102,25,59,1
46,28,50,82,51,90,67,24,54,2
53,45,66,102,55,100,89,25,54,0
54,50,69,101,64,107,104,26,55,0
61,29,52,96,55,100,78,26,57,2
85,29,55,122,55,103,101,26,62,1
46,41,61,117,58,109,86,24,55,0
59,28,53,95,49,91,77,23,54,2
76,29,54,115,49,95,97,24,60,1
62,27,49,90,46,86,82,24,55,2
57,42,61,107,66,106,101,25,54,0
67,48,68,110,72,115,81,34,66,3
53,48,65,87,60,98,95,25,54,0
63,29,52,97,55,101,79,24,58,2
74,40,61,110,66,110,111,29,68,3
62,51,68,99,63,98,115,27,57,0
51,28,50,86,45,86,63,22,50,2
72,77,92,98,98,125,96,39,70,3
46,47,72,81,57,94,88,26,53,0
59,67,81,85,81,114,86,38,68,3
54,27,50,93,46,86,80,23,53,2
49,38,58,100,62,108,106,26,57,0
86,30,57,119,57,104,101,25,62,1
59,27,51,94,46,87,76,24,54,2
59,28,51,93,57,98,86,26,59,2
69,72,94,90,79,120,79,43,72,3
54,46,73,107,61,107,97,25,52,0
58,30,52,91,50,90,68,23,53,2
85,30,57,117,49,94,93,25,60,1
71,29,55,109,47,93,102,25,58,1
73,28,53,112,49,93,98,24,60,1
59,29,52,94,57,102,93,26,58,2
51,32,55,77,45,85,68,24,52,2
86,28,53,123,54,99,108,25,60,1
54,48,66,87,63,98,123,27,58,0
92,30,57,121,48,95,101,24,60,1
53,40,60,101,59,102,97,25,54,0
66,28,52,98,47,88,83,25,57,2
65,28,52,93,49,90,74,24,56,2
83,29,54,120,51,95,108,25,61,1
56,26,50,94,50,87,83,24,54,2
82,30,56,113,48,94,98,24,60,1
56,26,51,96,55,99,72,22,54,2
58,62,86,85,61,93,88,24,53,0
55,58,76,89,84,118,83,36,69,3
65,28,53,100,47,90,98,25,58,1
62,28,51,96,46,89,87,24,56,2
56,27,51,93,60,101,71,24,55,2
58,25,48,98,46,89,73,22,53,2
82,29,54,119,50,98,105,25,59,1
55,61,90,75,55,91,84,24,54,0
66,69,93,90,63,100,99,25,57,0
79,30,55,115,51,96,109,25,59,1
69,27,53,106,47,90,87,24,55,1
80,29,55,116,50,95,102,25,59,1
67,51,68,115,69,111,136,31,67,0
67,28,51,99,50,97,82,26,59,2
63,26,50,95,49,91,81,26,57,2
63,42,63,97,66,108,111,28,59,0
46,27,50,83,51,90,76,26,56,2
59,59,84,93,70,104,92,29,58,0
83,28,54,117,51,96,105,27,64,1
63,37,58,95,58,101,89,27,62,3
77,29,52,103,51,93,87,27,59,2
57,44,65,107,59,104,98,26,59,0
65,29,52,101,51,95,89,28,62,2
53,55,76,99,86,121,104,41,78,3
45,36,60,97,57,102,83,28,56,0
81,27,52,112,51,94,95,26,60,2
59,64,83,94,82,119,112,36,70,3
58,33,54,95,51,95,81,27,58,2
50,51,80,100,79,112,75,38,67,3
36,35,56,90,61,105,63,23,53,0
56,31,54,94,54,95,95,27,58,2
40,38,56,97,60,101,66,29,60,3
75,77,97,114,78,120,129,37,77,3
50,34,56,98,55,99,84,25,55,0
31,26,47,90,52,94,53,22,48,0
63,30,53,99,52,93,88,27,59,2
47,26,49,85,50,91,70,23,52,2
48,26,49,87,48,90,59,24,54,2
68,29,54,112,48,94,89,25,56,0
55,36,56,86,57,95,92,27,57,0
57,30,52,101,55,94,96,25,58,2
48,40,60,108,58,105,95,28,61,0
49,26,50,83,59,96,66,24,57,2
60,69,89,100,82,123,73,50,78,3
54,28,50,102,50,93,77,24,56,2
45,26,48,86,52,94,66,25,54,2
62,54,79,105,70,109,118,30,66,0
60,56,75,85,73,103,102,27,58,0
64,48,65,111,64,107,103,30,64,0
42,39,60,88,64,104,92,26,54,0
73,28,51,115,51,96,94,25,59,1
65,72,94,81,93,127,100,84,114,3
43,40,64,91,58,100,90,25,54,0
76,29,54,105,49,94,89,25,60,2
60,57,74,106,80,119,108,34,69,3
64,74,93,109,87,126,128,38,74,3
56,32,54,99,50,95,81,24,57,2
70,53,72,104,73,112,104,30,64,3
59,29,53,98,52,94,85,27,60,2
42,29,50,83,54,93,70,25,54,0
78,30,55,112,53,99,104,27,62,1
50,25,48,96,48,92,63,23,52,2
58,75,110,82,74,108,52,32,58,3
76,72,89,118,74,119,117,32,69,0
78,27,54,117,49,95,105,27,61,1
78,28,53,110,48,92,85,24,58,1
56,43,63,96,63,101,112,27,59,0
52,28,53,100,48,88,59,23,50,2
79,27,54,115,49,95,95,25,59,1
61,65,88,87,85,124,106,71,110,3
67,32,56,102,55,99,96,28,62,2
70,28,51,104,51,95,88,26,60,2
63,29,53,99,50,94,85,26,60,2
50,42,62,90,52,95,71,25,55,2
52,28,53,92,60,103,82,27,57,2
59,30,52,90,54,93,80,26,58,2
71,27,53,109,49,96,95,26,59,2
56,26,50,91,49,93,81,25,56,2
55,38,58,89,60,97,102,27,60,0
76,39,64,109,53,101,100,27,62,2
55,39,62,91,66,102,98,27,57,0
52,27,52,89,50,92,71,25,55,2
66,29,53,99,51,96,77,26,58,2
44,43,67,86,57,98,80,25,54,0
67,68,89,110,82,121,79,51,81,3
52,25,49,94,47,89,68,22,52,2
74,27,51,106,46,90,89,25,58,1
64,28,54,101,51,95,82,25,60,1
69,30,55,99,53,97,90,28,61,2
46,25,47,87,48,89,57,23,53,2
57,27,50,92,49,92,73,24,57,2
48,25,47,92,49,88,63,23,53,2
51,50,72,78,66,99,94,25,55,0
53,33,55,89,56,95,73,26,56,2
69,27,52,106,48,93,84,23,55,2
85,29,55,119,50,96,104,26,60,1
60,56,78,84,73,104,102,27,56,0
49,29,51,89,55,94,85,26,56,2
60,29,50,99,49,96,78,24,57,2
51,47,68,92,75,115,99,32,68,3
48,42,64,81,68,99,98,26,57,0
58,32,56,95,55,98,83,25,57,2
75,79,98,106,94,131,85,45,79,3
57,50,67,84,74,104,110,26,57,0
54,25,50,104,49,94,83,26,57,2
64,32,57,95,52,96,78,27,57,2
55,28,50,92,50,93,70,25,56,2
58,43,67,88,60,96,91,26,56,0
60,41,63,87,61,99,96,25,58,0
60,27,53,97,49,93,83,25,58,2
55,44,62,114,57,102,110,28,62,0
48,37,64,88,71,103,71,26,54,0
66,27,51,113,49,94,91,24,58,1
80,29,54,113,49,91,98,25,59,1
50,31,52,85,48,86,73,24,51,0
59,28,54,95,51,96,76,26,58,2
51,28,48,81,47,87,80,25,54,2
69,28,52,106,51,94,88,25,58,2
65,48,68,107,66,107,114,30,63,0
56,63,90,85,87,127,68,51,84,3
56,58,81,69,65,100,109,42,80,3
56,25,50,102,50,93,81,24,57,2
72,84,105,103,100,138,95,61,97,3
42,31,53,91,56,95,76,23,53,0
49,41,63,95,70,103,115,32,63,0
59,36,61,92,50,88,76,24,56,2
45,30,51,96,53,96,84,23,55,0
64,65,87,109,69,115,102,41,78,3
66,66,84,94,79,116,110,38,77,3
50,36,60,80,54,92,82,24,55,0
55,28,52,98,51,97,77,26,57,2
76,28,53,110,49,93,93,25,60,1
56,57,76,93,72,106,97,25,54,0
79,29,53,106,51,96,93,25,60,2
59,43,65,88,64,99,103,26,59,0
61,30,53,97,51,98,79,26,60,2
51,31,52,87,53,94,73,25,56,2
66,29,52,97,49,92,101,27,59,2
35,32,53,95,55,98,70,24,51,0
57,36,60,86,60,97,89,26,58,0
51,39,60,97,61,103,77,22,52,0
53,61,81,91,67,109,73,45,76,3
39,35,59,93,60,101,71,23,50,0
57,53,69,105,64,105,114,26,58,0
63,30,52,109,52,96,91,24,57,2
45,27,49,82,50,91,57,24,52,2
53,41,62,106,62,105,80,27,57,0
51,28,51,80,48,86,71,23,53,2
107,67,92,141,67,113,111,46,82,3
55,38,61,90,57,96,85,24,56,0
42,36,59,83,61,103,63,36,62,3
47,33,56,90,64,102,89,29,59,0
50,40,62,113,60,106,99,28,59,0
52,44,73,82,58,94,71,23,51,0
64,28,52,102,47,90,84,25,56,2
63,75,95,77,85,123,92,60,97,3
53,31,53,94,58,103,76,28,57,2
59,60,79,83,71,104,94,26,56,0
40,29,51,92,52,96,69,23,53,0
32,32,53,84,77,116,61,35,70,3
47,27,50,89,51,95,62,23,51,2
78,31,58,115,48,92,103,25,59,1
75,31,55,104,53,95,112,27,56,1
63,43,60,96,63,100,109,26,58,0
71,81,100,100,88,122,79,46,74,3
49,37,61,77,60,95,91,26,58,0
66,63,90,101,78,120,94,38,73,3
52,39,61,100,61,103,86,25,54,3
70,83,108,86,85,120,97,57,95,3
48,37,59,98,60,108,73,24,55,0
79,28,54,117,52,99,93,25,60,1
53,47,67,82,66,100,83,25,55,3
58,30,52,90,54,94,73,26,57,2
62,38,63,93,57,94,86,26,56,2
50,48,71,86,67,102,89,25,56,0
51,27,51,90,51,95,64,24,54,2
67,28,51,100,51,97,84,25,58,2
47,28,51,100,52,99,66,24,54,2
55,52,68,81,69,100,87,25,54,0
80,41,64,104,60,94,119,29,60,0
50,29,53,84,49,91,83,24,56,2
68,31,54,106,53,97,94,27,59,2
45,28,49,91,51,95,66,24,53,2
53,48,77,100,74,113,103,42,80,3
51,37,60,99,62,108,89,26,57,0
65,27,50,88,47,88,75,23,53,2
50,27,51,94,50,96,67,24,56,2
73,27,54,111,51,98,92,25,60,1
46,44,70,82,55,96,84,24,54,0
58,32,56,98,58,101,88,24,58,2
53,39,60,101,59,109,97,26,58,0
49,38,62,82,56,93,73,25,54,0
66,67,106,94,61,93,47,23,49,3
47,38,62,90,70,103,100,28,58,0
50,30,54,88,51,93,61,22,50,2
61,46,66,121,63,112,105,27,59,0
49,43,64,116,58,107,102,27,59,0
54,29,54,81,51,89,66,21,51,1
56,44,64,117,64,114,107,27,59,0
59,51,96,86,80,131,67,53,98,3
50,43,65,96,65,108,105,28,61,0
48,25,49,93,50,94,67,24,53,2
73,79,123,98,89,115,68,44,73,3
64,31,54,98,51,94,91,25,56,2
43,26,47,81,48,91,50,22,49,2
85,29,55,118,47,92,93,25,59,1
54,43,65,111,61,109,89,26,54,0
63,57,75,122,88,124,98,40,71,3
81,29,53,114,53,98,102,26,61,1
54,30,51,94,52,92,80,23,54,2
34,32,51,93,61,106,81,25,55,0
74,34,56,104,57,96,115,28,63,2
52,29,51,80,51,89,75,24,54,2
64,57,75,86,73,103,88,23,51,0
52,54,78,76,63,95,78,25,52,0
54,31,56,87,49,87,67,23,50,2
48,29,52,86,56,100,61,23,54,2
59,32,54,92,52,95,83,27,61,2
55,65,97,81,66,98,75,26,54,0
48,26,50,89,51,95,60,23,54,2
50,30,52,82,52,90,90,25,55,2
46,27,49,87,47,88,70,23,51,2
81,90,110,124,73,116,124,37,75,3
59,72,98,91,85,125,118,47,87,3
52,44,64,99,57,97,107,27,59,0
52,46,66,89,59,96,97,26,58,0
33,31,53,106,53,104,64,23,52,0
65,53,74,108,72,116,98,31,62,0
90,32,59,129,52,99,121,27,65,1
41,27,50,84,51,94,57,23,50,2
45,40,59,98,55,99,85,26,57,0
49,27,49,87,51,93,74,24,54,2
46,26,49,89,52,93,65,22,51,2
39,24,47,80,47,89,55,22,52,2
63,35,56,100,51,94,104,26,57,2
81,29,54,110,48,91,86,24,56,1
56,30,51,89,51,92,84,24,56,2
44,39,59,109,57,104,96,25,54,0
52,30,53,82,53,92,83,24,52,2
66,32,55,91,49,91,82,27,58,0
37,24,47,79,43,84,42,20,45,1
45,27,51,84,52,94,58,23,51,2
48,33,54,107,58,104,90,25,55,0
72,67,84,97,70,104,99,30,63,0
53,27,50,96,53,96,68,23,53,2
40,25,50,85,51,93,56,23,51,2
31,29,50,88,53,95,69,23,50,0
39,32,51,94,54,98,76,23,51,0
48,26,50,87,49,89,68,22,52,2
69,69,89,110,73,113,122,38,76,3
54,38,60,109,58,105,101,26,59,0
55,40,61,91,58,98,100,25,55,0
69,63,84,108,75,112,130,34,72,0
60,69,95,109,67,109,98,31,66,0
38,37,58,97,62,111,72,24,53,0
70,29,52,102,54,102,79,25,58,2
57,63,85,112,73,115,103,30,65,0
49,36,61,87,51,90,65,22,50,0
51,26,48,90,46,86,61,21,50,2
43,41,59,93,56,97,93,25,55,0
57,26,50,93,53,97,73,23,54,2
41,23,47,81,46,89,45,19,48,2
66,31,59,90,49,88,81,25,53,2
44,38,60,96,60,105,79,25,52,0
48,25,50,91,48,90,74,23,53,2
67,78,107,89,64,97,82,26,55,0
52,41,64,93,53,94,80,23,53,0
60,56,71,94,64,99,100,26,57,0
54,28,51,93,56,100,80,24,55,2
35,29,51,74,52,89,60,22,49,2
62,32,54,92,50,89,84,26,57,2
54,29,51,88,51,91,95,24,55,2
52,33,54,99,61,107,109,26,56,2
57,60,86,87,59,96,103,27,57,0
49,25,48,90,50,91,77,25,56,2
67,29,53,103,51,96,86,25,55,1
57,31,52,93,51,91,91,23,54,2
58,31,55,95,51,92,82,24,58,2
46,29,50,85,51,90,80,24,53,2
56,31,53,95,58,99,78,24,56,2
53,51,72,91,83,121,66,43,71,3
57,31,52,90,52,91,88,25,56,2
62,57,77,93,78,110,98,31,62,0
56,31,54,96,55,99,70,23,53,2
51,27,50,95,55,98,81,25,54,2
77,27,52,101,57,102,84,25,57,2
58,32,55,101,50,93,73,24,54,2
